From Bus  Number,From Bus  Name,To Bus  Number,To Bus  Name,Id,Line,Line R (pu),Line X (pu),Charging B (pu),Length,r,x,b,l,c,z,y,,
2245,VAVUNIYA-2  220.00,2705,NEWANU-2    220.00,2,21,0.004345,0.03476,0.10736,55,0.038236,440,0.118096,1.400563499,0.000375911,0.038236+8.8i,0.00236192i,,
2280,MANNAR-2    220.00,2281,NADUKUDA-2  220.00,1,22,0.00237,0.01896,0.05856,30,0.038236,240,0.118096,0.763943727,0.000375911,0.038236+4.8i,0.00236192i,,
2280,MANNAR-2    220.00,2281,NADUKUDA-2  220.00,2,23,0.00237,0.01896,0.05856,30,0.038236,240,0.118096,0.763943727,0.000375911,0.038236+4.8i,0.00236192i,,
2300,KELAN-2     220.00,2570,BIYAG-2     220.00,1,24,0.00134,0.00764,0.02361,12.5,0.0518848,71.26865672,0.160340331,0.22685518,0.000510379,0.0518848+1.42537313432836i,0.00320680661780105i,,
2300,KELAN-2     220.00,2570,BIYAG-2     220.00,2,25,0.00134,0.00764,0.02361,12.5,0.0518848,71.26865672,0.160340331,0.22685518,0.000510379,0.0518848+1.42537313432836i,0.00320680661780105i,,
2305,KERAWALA_2  220.00,2306,NEW_KERA2   220.00,1,26,0.000017,0.000212,0.016878,0.5,0.016456,6.235294118,1.310114943,0.019847558,0.004170225,0.016456+0.124705882352941i,0.0262022988679245i,,
2305,KERAWALA_2  220.00,2306,NEW_KERA2   220.00,2,27,0.000017,0.000212,0.016878,0.5,0.016456,6.235294118,1.310114943,0.019847558,0.004170225,0.016456+0.124705882352941i,0.0262022988679245i,,
2305,KERAWALA_2  220.00,2350,COL_L2      220.00,1,28,0.00046,0.00573,0.4557,13.5,0.016491852,168.1630435,1.311577118,0.535279592,0.00417488,0.0164918518518519+3.36326086956522i,0.0262315423695947i,,
2306,NEW_KERA2   220.00,2580,KOTUG-2     220.00,1,29,0.001422,0.011376,0.035136,18,0.038236,144,0.118096,0.458366236,0.000375911,0.038236+2.88i,0.00236192i,,
2306,NEW_KERA2   220.00,2580,KOTUG-2     220.00,2,30,0.001422,0.011376,0.035136,18,0.038236,144,0.118096,0.458366236,0.000375911,0.038236+2.88i,0.00236192i,,
2307,NEW_KERA    220.00,2580,KOTUG-2     220.00,1,31,0.001413,0.01138,0.035143,18,0.037994,144.9681529,0.11733068,0.461447962,0.000373475,0.037994+2.89936305732484i,0.00234661360632689i,,
2307,NEW_KERA    220.00,2580,KOTUG-2     220.00,2,32,0.001413,0.01138,0.035143,18,0.037994,144.9681529,0.11733068,0.461447962,0.000373475,0.037994+2.89936305732484i,0.00234661360632689i,,
2560,PANNI-2     220.00,2570,BIYAG-2     220.00,1,33,0.00185,0.00942,0.01702,15.5,0.057767742,78.92432432,0.104374413,0.251223927,0.000332234,0.0577677419354839+1.57848648648649i,0.00208748825422916i,,
2561,PANNI-D-2   220.00,2570,BIYAG-2     220.00,2,34,0.00185,0.00942,0.01702,15.5,0.057767742,78.92432432,0.104374413,0.251223927,0.000332234,0.0577677419354839+1.57848648648649i,0.00208748825422916i,,
2561,PANNI-D-2   220.00,2970,PADUKKA_2   220.00,1,35,0.001517,0.012134,0.037478,15.2,0.048304474,121.5799604,0.14919689,0.387001034,0.000474908,0.0483044736842105+2.43159920896506i,0.00298393780243422i,,
