From_Bus_Number,From_Bus_Name,To_Bus_Number,To_Bus_Name,Line_ID,Length_km,Harmonic_Order,Z0_magnitude,Z0_angle_deg,S11_magnitude,S11_angle_deg,S12_magnitude,S12_angle_deg,S21_magnitude,S21_angle_deg,S22_magnitude,S22_angle_deg,A_real,A_imag,B_real,B_imag,C_real,C_imag,D_real,D_imag
2135,NPOLP_2     220.00,2220,KOTMA-2     220.00,1,23.0,11,55.116885068895684,-0.01411062361852151,0.903377909295952,-166.2164157695606,0.4223750978184445,103.98976759825464,0.4223750978184447,103.98976759825466,0.903377909295952,-166.2164157695606,-0.5640263486354951,-0.004669864566751401,-0.18701197829173186,-45.51416479474761,-5.4180637009708646e-05,-0.01498228565070335,-0.5640263486354951,-0.004669864566751401
2135,NPOLP_2     220.00,2220,KOTMA-2     220.00,2,23.0,11,55.116885068895684,-0.01411062361852151,0.903377909295952,-166.2164157695606,0.4223750978184445,103.98976759825464,0.4223750978184447,103.98976759825466,0.903377909295952,-166.2164157695606,-0.5640263486354951,-0.004669864566751401,-0.18701197829173186,-45.51416479474761,-5.4180637009708646e-05,-0.01498228565070335,-0.5640263486354951,-0.004669864566751401
2135,NPOLP_2     220.00,2400,HAMBAN-2    220.00,3,140.0,11,94.08270770325677,-0.004763077051502403,0.7276827080097017,156.44880407759774,0.6517576460464517,-114.91336221386531,0.6517576460464517,-114.91336221386531,0.7276827080097017,156.44880407759774,-0.6138549734966711,0.02407246209677084,-1.7536281291903433,74.32616561022645,-0.00019951134016273306,0.0083969274954382,-0.6138549734966711,0.02407246209677084
2135,NPOLP_2     220.00,2400,HAMBAN-2    220.00,4,140.0,11,94.08270770325677,-0.004763077051502403,0.7276827080097017,156.44880407759774,0.6517576460464517,-114.91336221386531,0.6517576460464517,-114.91336221386531,0.7276827080097017,156.44880407759774,-0.6138549734966711,0.02407246209677084,-1.7536281291903433,74.32616561022645,-0.00019951134016273306,0.0083969274954382,-0.6138549734966711,0.02407246209677084
2135,NPOLP_2     220.00,2970,PADUKKA_2   220.00,5,51.0,11,58.77768908347354,-0.012203438574815557,0.816848866460371,154.04422716050243,0.5530731429684433,-117.20040939834875,0.5530731429684431,-117.20040939834875,0.816848866460371,154.04422716050243,-0.7918158623869239,0.010134234458640406,-0.7643149467607445,35.91245788693015,-0.00022565969165593602,0.010394800017060028,-0.7918158623869239,0.010134234458640406
2135,NPOLP_2     220.00,2970,PADUKKA_2   220.00,6,51.0,11,58.77768908347354,-0.012203438574815557,0.816848866460371,154.04422716050243,0.5530731429684433,-117.20040939834875,0.5530731429684431,-117.20040939834875,0.816848866460371,154.04422716050243,-0.7918158623869239,0.010134234458640406,-0.7643149467607445,35.91245788693015,-0.00022565969165593602,0.010394800017060028,-0.7918158623869239,0.010134234458640406
2220,KOTMA-2     220.00,2225,UPPER-KOTH-2220.00,7,18.5,11,26.16949938107437,-0.10521131103047986,0.9738344813978759,174.53455490433075,0.19806651248572815,-96.4181047852567,0.19806651248572815,-96.4181047852567,0.9738344813978761,174.53455490433075,-0.48162145266926387,0.023564461687505242,-0.29660233515170686,22.945782001994445,-0.000556142427509168,0.033503369519470964,-0.48162145266926387,0.023564461687505242
2220,KOTMA-2     220.00,2225,UPPER-KOTH-2220.00,8,18.5,11,26.16949938107437,-0.10521131103047986,0.9738344813978759,174.53455490433075,0.19806651248572815,-96.4181047852567,0.19806651248572815,-96.4181047852567,0.9738344813978761,174.53455490433075,-0.48162145266926387,0.023564461687505242,-0.29660233515170686,22.945782001994445,-0.000556142427509168,0.033503369519470964,-0.48162145266926387,0.023564461687505242
2220,KOTMA-2     220.00,2230,VICTO-2     220.00,9,30.1,11,45.508530232925956,-0.020359517135940076,0.9029349574584176,-162.5795907118303,0.4130383351288431,108.15556739163658,0.4130383351288431,108.15556739163658,0.9029349574584177,-162.5795907118303,-0.7249188491023236,-0.008645669095049538,-0.4251349292025827,-31.35288886978422,-0.00019451849059599205,-0.01513895923231582,-0.7249188491023236,-0.008645669095049538
2220,KOTMA-2     220.00,2230,VICTO-2     220.00,10,30.1,11,45.508530232925956,-0.020359517135940076,0.9029349574584176,-162.5795907118303,0.4130383351288431,108.15556739163658,0.4130383351288431,108.15556739163658,0.9029349574584177,-162.5795907118303,-0.7249188491023236,-0.008645669095049538,-0.4251349292025827,-31.35288886978422,-0.00019451849059599205,-0.01513895923231582,-0.7249188491023236,-0.008645669095049538
